id,name,formation,status,qo,ql,watercut,p_res,p_res_initial,p_wf,skin,perm,thickness_total,thickness_perforated,reserves_remaining,depletion,pump_capacity,idle_days,last_active_qo,months_since_last_gtm,notes
101,Скв. 101,БС10,active,8.5,10.0,15.0,210,250,90,8.5,6.0,12.0,12.0,45.0,35.0,25.0,0,0.0,24,
102,Скв. 102,БС10,active,4.2,40.0,89.0,195,250,85,1.5,25.0,10.0,10.0,18.0,72.0,45.0,0,0.0,36,
103,Скв. 103,АС4,active,2.0,2.3,98.5,180,240,80,2.0,18.0,16.0,8.0,32.0,55.0,15.0,0,0.0,48,
104,Скв. 104,АС4,idle,0.0,0.0,0.0,205,240,0,0.0,20.0,9.0,9.0,22.0,40.0,0.0,180,6.0,999,
105,Скв. 105,БС10,active,12.0,13.0,8.0,230,250,110,1.0,45.0,14.0,14.0,60.0,20.0,50.0,0,0.0,3,
106,Скв. 106,ЮС2,active,3.5,4.0,12.0,200,230,95,4.5,4.5,8.0,8.0,25.0,30.0,30.0,0,0.0,18,
107,Скв. 107,ЮС2,active,6.0,42.0,86.0,190,235,88,2.5,30.0,11.0,11.0,40.0,48.0,45.0,0,0.0,15,
108,Скв. 108,АС4,active,5.0,5.5,9.0,215,245,100,1.2,22.0,18.0,11.0,38.0,25.0,20.0,0,0.0,9,
109,Скв. 109,БС10,idle,0.0,0.0,0.0,175,245,0,0.0,10.0,10.0,10.0,1.0,92.0,0.0,900,2.0,999,
110,Скв. 110,ЮС2,active,9.0,9.5,5.0,225,245,105,0.5,60.0,13.0,13.0,55.0,15.0,10.0,0,0.0,4,
